講義名,開講期間,曜日・時限,講義室,URL,講義室（改良）
英語Ⅱ(Academic English Skills 2b)　AES 経済S09+再履生　第2ターム,第2,水2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12182_ja_JP.html,全学講義棟 2-201
AL1（文学を「批判的」に読んでみる）　第２ターム 水２,第2,水2,全学講義棟 2-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ690032_ja_JP.html,全学講義棟 2-102
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　月２・水２,第2,水2,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11552_ja_JP.html,全学講義棟 1-304
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　月２・水２,第2,水2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11651_ja_JP.html,全学講義棟 2-103
日本語Ⅰa(作文),第2,水2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28116_ja_JP.html,全学講義棟 2-402
宗教学概説　第２ターム 月２・水２,第2,水2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ100111_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
アジア文学・文化概説　第２ターム 月２・水２,第2,水2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ106112_ja_JP.html,全学講義棟 1-206
社会学概説　第２ターム 月２・水２,第2,水2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ205011_ja_JP.html,全学講義棟 1-305
教養生物学　第２ターム 月２・水２,第2,水2,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ300511_ja_JP.html,全学講義棟 1-207
工学と社会（電気電子物理工学系）　第２ターム 月２・水２,第2,水2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302211_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
ジェンダー論入門　第２ターム 月２・水２,第2,水2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500001_ja_JP.html,全学講義棟 1-301
日本語C(聴解・会話) b,第2,水2,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200203_ja_JP.html,理-2番講義室
日本語C(読解) b,第2,水2,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200204_ja_JP.html,"理-2番講義室, 理-3番講義室"
日本語D(読解) b,第2,水2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200207_ja_JP.html,全学講義棟 1-403
Global Business Strategy,第2,水2,リアルタイム,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE224460_ja_JP.html,全学講義棟 1-203
認知工学特論,第2,水2,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40290_ja_JP.html,工-11
Japanese Language-D(Summer Program),第2,水2,"全学講義棟 2-103, 全学講義棟 3-203",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0004_ja_JP.html,全学講義棟 2-101
史料学実習Ｄ(西洋史）,第2,水3,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F32094_ja_JP.html,工-31
企業会計総論　第２ターム,第2,水3,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04101_ja_JP.html,全学講義棟 1-301
基本情報技術概論Ⅱ　月３・水３の週２回授業,第2,水3,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73230_ja_JP.html,全学講義棟 2-401
英語Ⅰ(General English Skills 1b)　GES 教育F08　第2ターム,第2,水3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11171_ja_JP.html,全学講義棟 1-403
英語Ⅰ(General English Skills 1b)　GES 教育F09　第2ターム,第2,水3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11172_ja_JP.html,全学講義棟 2-101
英語Ⅰ(General English Skills 1b)　GES 教育F10　第2ターム,第2,水3,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11173_ja_JP.html,全学講義棟 2-102
英語Ⅰ(General English Skills 1b)　GES 教育F11　第2ターム,第2,水3,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11174_ja_JP.html,全学講義棟 1-203
英語Ⅰ(General English Skills 1b)　GES 教育F12+再履生　第2ターム,第2,水3,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11175_ja_JP.html,全学講義棟 1-402
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　月３・水３,第2,水3,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11452_ja_JP.html,全学講義棟 1-303
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　月３・水３,第2,水3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11652_ja_JP.html,全学講義棟 1-401
AL1（課題解決型プログラムｃ）　第２ターム 水３・水４（隔週）,第2,水3,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ690221_ja_JP.html,全学講義棟 1-207
Research Topics in Media and Visual Communication Studies I,第2,水3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC14616_ja_JP.html,工-セミナー室6
Japanese Language Class for Absolute Beginners,第2,水3,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0001_ja_JP.html,全学講義棟 2-201
史料学実習Ｄ(西洋史）,第2,水4,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F32094_ja_JP.html,工-21
開発論　第２ターム,第2,水4,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03105_ja_JP.html,全学講義棟 1-302
機械システムのモデリング　月４・水４の週２回授業,第2,水4,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71260_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
地盤環境工学　月４・水４の週２回授業,第2,水4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76080_ja_JP.html,全学講義棟 2-203
AL1（課題解決型プログラムｃ）　第２ターム 水３・水４（隔週）,第2,水4,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ690221_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　月４・水４,第2,水4,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11453_ja_JP.html,全学講義棟 1-203
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　月４・水４,第2,水4,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11553_ja_JP.html,全学講義棟 1-403
多文化のアメリカⅠ,第2,水4,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC125180_ja_JP.html,工-22
教育課程の課題探求　共通科目、第２ターム,第2,水4,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10016_ja_JP.html,全学講義棟 2-401
生徒指導・教育相談の課題探求　共通科目、第２ターム（A212、A203、A201）,第2,水4,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10036_ja_JP.html,全学講義棟 2-502
Japanese Language Class for Absolute Beginners,第2,水4,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0001_ja_JP.html,全学講義棟 2-103
開発論　第２ターム,第2,水5,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03105_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
多文化のアメリカⅠ,第2,水5,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC125180_ja_JP.html,全学講義棟 3-201
教育課程の課題探求　共通科目、第２ターム,第2,水5,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10016_ja_JP.html,全学講義棟 2-201
生徒指導・教育相談の課題探求　共通科目、第２ターム（A212、A203、A201）,第2,水5,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10036_ja_JP.html,全学講義棟 2-302
日本史概説Ａ,第2,木1,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31081_ja_JP.html,全学講義棟 1-203
商法総則・商行為法　第２ターム,第2,木1,オンデマンド,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05107_ja_JP.html,全学講義棟 1-201
機械運動学　火１・木１の週２回授業,第2,木1,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71300_ja_JP.html,全学講義棟 2-202
英語Ⅱ(Academic English Skills 2b)　AES 工S08　第2ターム,第2,木1,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12183_ja_JP.html,全学講義棟 1-202
英語Ⅱ(Academic English Skills 2b)　AES 工S09　第2ターム,第2,木1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12184_ja_JP.html,全学講義棟 1-401
英語Ⅱ(Academic English Skills 2b)　AES 工S10　第2ターム,第2,木1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12185_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic English Skills 2b)　AES 工S11　第2ターム,第2,木1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12186_ja_JP.html,全学講義棟 1-304
英語Ⅱ(Academic English Skills 2b)　AES 工S12　第2ターム,第2,木1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12187_ja_JP.html,全学講義棟 1-305
英語Ⅱ(Academic English Skills 2b)　AES 工S13　第2ターム,第2,木1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12188_ja_JP.html,全学講義棟 1-402
英語Ⅱ(Academic English Skills 2b)　AES 工S14+再履生　第2ターム,第2,木1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12189_ja_JP.html,全学講義棟 2-101
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　火１・木１,第2,木1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11653_ja_JP.html,全学講義棟 1-302
英語Ⅱ(English for Specific Purposes 2b)　ESP 第2ターム　火１・木１,第2,木1,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12451_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
日本語Ⅱa(聴解),第2,木1,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28212_ja_JP.html,全学講義棟 2-103
市民と憲法　第２ターム 火１・木１,第2,木1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ202113_ja_JP.html,全学講義棟 1-204
工学と社会（情報系）　第２ターム 火１・木１,第2,木1,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302311_ja_JP.html,全学講義棟 1-301
工学と社会（応用化学系）　第２ターム 火１・木１,第2,木1,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302411_ja_JP.html,全学講義棟 1-206
日本語C(文法) b,第2,木1,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200205_ja_JP.html,全学講義棟 3-201
日本語D(聴解・会話) b,第2,木1,全学講義棟 2-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200206_ja_JP.html,全学講義棟 1-303
日本語E(文法) b,第2,木1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200210_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
商法総則・商行為法　第２ターム,第2,木2,オンデマンド,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05107_ja_JP.html,全学講義棟 1-201
メカトロニクスシステム　火２・木２の週２回授業,第2,木2,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71220_ja_JP.html,全学講義棟 2-502
英語Ⅰ(General English Skills 1b)　GES 経済F03　第2ターム,第2,木2,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11176_ja_JP.html,全学講義棟 1-202
英語Ⅰ(General English Skills 1b)　GES 経済F04　第2ターム,第2,木2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11177_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
英語Ⅰ(General English Skills 1b)　GES 経済F05　第2ターム,第2,木2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11178_ja_JP.html,全学講義棟 2-202
英語Ⅰ(General English Skills 1b)　GES 経済F06　第2ターム,第2,木2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11179_ja_JP.html,全学講義棟 2-101
英語Ⅰ(General English Skills 1b)　GES 経済F07　第2ターム,第2,木2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11180_ja_JP.html,全学講義棟 2-103
英語Ⅰ(General English Skills 1b)　GES 経済F08　第2ターム,第2,木2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11181_ja_JP.html,全学講義棟 2-201
英語Ⅰ(General English Skills 1b)　GES 経済F09+再履生　第2ターム,第2,木2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11182_ja_JP.html,全学講義棟 2-203
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　火２・木２,第2,木2,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11554_ja_JP.html,全学講義棟 1-402
英語Ⅱ(Academic Essay Writing 2b)　AEW 第2ターム　火２・木２,第2,木2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12651_ja_JP.html,全学講義棟 1-403
日本語Ⅱa(文章作成),第2,木2,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28214_ja_JP.html,全学講義棟 2-302
論理学概説　第２ターム 火２・木２,第2,木2,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ100211_ja_JP.html,全学講義棟 1-206
言語学概説　第２ターム 火２・木２,第2,木2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ105011_ja_JP.html,全学講義棟 1-207
開発協力概論　第２ターム 火２・木２,第2,木2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ201011_ja_JP.html,全学講義棟 1-205
統計学入門　第２ターム 火２・木２,第2,木2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ208112_ja_JP.html,全学講義棟 1-304
日本語C(文法) b,第2,木2,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200205_ja_JP.html,工-54
日本語E(聴解・会話) b,第2,木2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200209_ja_JP.html,全学講義棟 2-401
アメリカの文化と社会演習Ⅰ,第2,木3,教育機構棟4階日本アジアセミナー室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46141_ja_JP.html,全学講義棟 3-203
ミクロ経済学　第２ターム,第2,木3,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02100_ja_JP.html,工-セミナー室7
マーケティング論　第２ターム,第2,木3,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03102_ja_JP.html,全学講義棟 1-207
民法総則　第２ターム,第2,木3,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05101_ja_JP.html,工-セミナー室8
英語Ⅰ(General English Skills 1b)　GES 工F08　第2ターム,第2,木3,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11183_ja_JP.html,全学講義棟 1-202
英語Ⅰ(General English Skills 1b)　GES 工F09　第2ターム,第2,木3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11184_ja_JP.html,全学講義棟 1-401
英語Ⅰ(General English Skills 1b)　GES 工F10　第2ターム,第2,木3,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11185_ja_JP.html,全学講義棟 1-403
英語Ⅰ(General English Skills 1b)　GES 工F11　第2ターム,第2,木3,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11186_ja_JP.html,全学講義棟 1-305
英語Ⅰ(General English Skills 1b)　GES 工F12　第2ターム,第2,木3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11187_ja_JP.html,全学講義棟 1-402
英語Ⅰ(General English Skills 1b)　GES 工F13　第2ターム,第2,木3,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11188_ja_JP.html,全学講義棟 2-101
英語Ⅰ(General English Skills 1b)　GES 工F14+再履生　第2ターム,第2,木3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11189_ja_JP.html,全学講義棟 1-302
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　火３・木３,第2,木3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11455_ja_JP.html,全学講義棟 1-303
アメリカの文化と社会演習Ⅲ,第2,木4,教育機構棟4階日本アジアセミナー室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46143_ja_JP.html,全学講義棟 2-302
国際政治経済学演習Ⅰ,第2,木4,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F16045_ja_JP.html,全学講義棟 3-202
初等音楽科概説Ｂ　第2ターム、小（算・理・も・家）・乳・副2年以上,第2,木4,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18012_ja_JP.html,全学講義棟 2-301
図画工作科概説　第2ターム、小（社・音・図・体）・乳・副2年以上,第2,木4,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y20011_ja_JP.html,全学講義棟 2-401
開発経済論　第２ターム（2023年度以前入学者：特殊講義「開発経済論」）,第2,木4,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03121_ja_JP.html,工-51
Introduction to Public Policies　第２ターム,第2,木4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05104_ja_JP.html,工-52
演習Ⅴ　第２ターム,第2,木4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07501_ja_JP.html,工-50
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　火４・木４,第2,木4,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11654_ja_JP.html,全学講義棟 1-302
マンマシンインターフェイス特論,第2,木4,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40110_ja_JP.html,全学講義棟 1-305
地震動特論(JE),第2,木4,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50210_ja_JP.html,全学講義棟 1-403
国際政治経済学演習Ⅰ,第2,木5,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F16045_ja_JP.html,全学講義棟 2-402
アメリカ研究演習Ⅲ,第2,木5,教育機構棟4階日本アジアセミナー室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46133_ja_JP.html,全学講義棟 2-103
開発経済論　第２ターム（2023年度以前入学者：特殊講義「開発経済論」）,第2,木5,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03121_ja_JP.html,工-11
Introduction to Public Policies　第２ターム,第2,木5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05104_ja_JP.html,工-12
演習Ⅴ　第２ターム,第2,木5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07501_ja_JP.html,全学講義棟 3-203
HiSEP特別講義Ⅱ,第2,金1,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/04/04_R20031_ja_JP.html,工-23
機械力学　月１・金１の週２回授業,第2,金1,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71090_ja_JP.html,全学講義棟 2-202
英語Ⅰ(General English Skills 1b)　GES 理F01　第2ターム,第2,金1,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11190_ja_JP.html,全学講義棟 1-203
英語Ⅰ(General English Skills 1b)　GES 理F02　第2ターム,第2,金1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11191_ja_JP.html,全学講義棟 2-103
英語Ⅰ(General English Skills 1b)　GES 理F03　第2ターム,第2,金1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11192_ja_JP.html,全学講義棟 2-102
英語Ⅰ(General English Skills 1b)　GES 理F04　第2ターム,第2,金1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11193_ja_JP.html,全学講義棟 1-402
英語Ⅰ(General English Skills 1b)　GES 理F05　第2ターム,第2,金1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11194_ja_JP.html,全学講義棟 2-101
英語Ⅰ(General English Skills 1b)　GES 理F06+再履生　第2ターム,第2,金1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11195_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Basic English 2b)　BE 第2ターム　金１+Eラーニング,第2,金1,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12751_ja_JP.html,全学講義棟 1-401
英語Ⅱ(Academic Communication Skills 2b)　ACS 第2ターム　火１・金１,第2,金1,全学講義棟 2-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12551_ja_JP.html,全学講義棟 1-304
社会学概説　第２ターム 金１・金２,第2,金1,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ205012_ja_JP.html,全学講義棟 1-207
現代教育論　第２ターム 金１・金２,第2,金1,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ207012_ja_JP.html,全学講義棟 1-206
農学入門　第２ターム 金１・金２,第2,金1,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500051_ja_JP.html,全学講義棟 1-303
AL2（Pythonで始める機械学習演習）　第２ターム 金１・金２,第2,金1,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ600131_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
日本語E(読解)b,第2,金1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200211_ja_JP.html,全学講義棟 1-305
水環境工学特論,第2,金1,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM60140_ja_JP.html,全学講義棟 2-302
英語Ⅱ(Academic English Skills 2b)　AES 理S01　第2ターム,第2,金2,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12190_ja_JP.html,全学講義棟 1-201
英語Ⅱ(Academic English Skills 2b)　AES 理S02　第2ターム,第2,金2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12191_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic English Skills 2b)　AES 理S03　第2ターム,第2,金2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12192_ja_JP.html,全学講義棟 1-304
英語Ⅱ(Academic English Skills 2b)　AES 理S04　第2ターム,第2,金2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12193_ja_JP.html,全学講義棟 1-401
英語Ⅱ(Academic English Skills 2b)　AES 理S05　第2ターム,第2,金2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12194_ja_JP.html,全学講義棟 1-305
英語Ⅱ(Academic English Skills 2b)　AES 理S06+再履生　第2ターム,第2,金2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12195_ja_JP.html,全学講義棟 1-303
社会学概説　第２ターム 金１・金２,第2,金2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ205012_ja_JP.html,全学講義棟 1-205
現代教育論　第２ターム 金１・金２,第2,金2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ207012_ja_JP.html,全学講義棟 1-203
